Event Name,Time Stamp,Scene Name,PosX, PosY, PosZ,Damage Cause,Enemy Type,Player Action Type,Current Player Health,Player Health Before Event,Was Killed
Player Update,07:48:22,NewPlayerTesting,0.82,2.00,-0.04, , , , , , 
Player Update,07:48:23,NewPlayerTesting,0.82,2.00,-0.04, , , , , , 
Player Update,07:48:24,NewPlayerTesting,0.82,2.00,-0.04, , , , , , 
Player Update,07:48:25,NewPlayerTesting,0.82,2.00,-0.04, , , , , , 
Player Update,07:48:26,NewPlayerTesting,-1.93,2.00,-3.58, , , , , , 
Player Update,07:48:27,NewPlayerTesting,-2.52,2.00,-3.70, , , , , , 
Player Update,07:48:28,NewPlayerTesting,-4.26,2.00,-6.30, , , , , , 
Player Update,07:48:31,NewPlayerTesting,-5.53,2.00,-8.79, , , , , , 
Player Action,07:48:38,NewPlayerTesting, , , , , ,Dash Slam, , , 
Player Update,07:48:41,NewPlayerTesting,1.26,2.00,-15.65, , , , , , 
Event Name,Time Stamp,Scene Name,PosX, PosY, PosZ,Damage Cause,Enemy Type,Player Action Type,Current Player Health,Player Health Before Event,Was Killed
Player Update,07:51:36,NewPlayerTesting,0.00,2.00,0.00, , , , , , 
Player Update,07:51:37,NewPlayerTesting,0.00,2.00,0.00, , , , , , 
Player Update,07:51:38,NewPlayerTesting,0.00,2.00,0.00, , , , , , 
Player Update,07:51:39,NewPlayerTesting,0.00,2.00,0.00, , , , , , 
Player Update,07:51:40,NewPlayerTesting,0.00,2.00,0.00, , , , , , 
Player Update,07:51:41,NewPlayerTesting,0.00,2.00,0.00, , , , , , 
Player Update,07:51:42,NewPlayerTesting,-1.61,2.00,3.93, , , , , , 
Player Action,07:51:43,NewPlayerTesting, , , , , ,Anchor Pull, , , 
Player Update,07:51:44,NewPlayerTesting,-2.40,2.00,5.93, , , , , , 
Player Update,07:51:45,NewPlayerTesting,-1.28,2.00,3.07, , , , , , 
Player Update,07:51:46,NewPlayerTesting,-0.22,2.00,-2.16, , , , , , 
Player Update,07:51:47,NewPlayerTesting,0.20,2.00,-2.63, , , , , , 
Player Update,07:51:48,NewPlayerTesting,1.23,2.00,-4.48, , , , , , 
